Algorithm Name,Solution,Env Size,Objective Function,Iterations,Time
hill_climbing,"[0, 6, 2, 7, 5, 9, 3, 1, 4, 8]",10,3,5,0.004005908966064453
hill_climbing,"[5, 0, 7, 1, 6, 2, 0, 8, 3, 9]",10,2,4,0.003626585006713867
hill_climbing,"[3, 0, 9, 5, 8, 6, 1, 7, 2, 0]",10,2,5,0.005000591278076172
hill_climbing,"[5, 9, 0, 4, 7, 9, 2, 6, 1, 3]",10,1,6,0.0049800872802734375
hill_climbing,"[4, 2, 9, 6, 6, 1, 1, 7, 0, 3]",10,2,4,0.0030007362365722656
hill_climbing,"[8, 1, 4, 9, 5, 3, 5, 0, 2, 6]",10,2,4,0.002997875213623047
hill_climbing,"[2, 6, 3, 0, 0, 8, 4, 7, 1, 9]",10,2,5,0.003939151763916016
hill_climbing,"[7, 0, 2, 6, 1, 3, 8, 5, 9, 4]",10,1,4,0.00299835205078125
hill_climbing,"[6, 1, 5, 0, 9, 3, 8, 8, 2, 8]",10,2,4,0.003977537155151367
hill_climbing,"[0, 7, 5, 8, 2, 4, 6, 3, 9, 4]",10,2,5,0.007503032684326172
hill_climbing,"[0, 8, 6, 2, 7, 1, 4, 9, 5, 3]",10,0,6,0.0050122737884521484
hill_climbing,"[0, 6, 1, 1, 8, 5, 2, 4, 9, 3]",10,3,5,0.005044221878051758
hill_climbing,"[5, 9, 1, 3, 4, 2, 8, 5, 7, 0]",10,3,3,0.003055572509765625
hill_climbing,"[4, 2, 8, 3, 1, 7, 5, 0, 6, 9]",10,1,5,0.00496673583984375
hill_climbing,"[8, 3, 9, 4, 1, 5, 0, 2, 6, 7]",10,1,5,0.004918336868286133
hill_climbing,"[1, 4, 8, 3, 0, 4, 2, 9, 5, 6]",10,3,4,0.002997159957885742
hill_climbing,"[3, 8, 0, 2, 9, 5, 1, 4, 6, 3]",10,2,4,0.0029833316802978516
hill_climbing,"[7, 1, 3, 5, 0, 8, 4, 2, 6, 2]",10,2,5,0.006010770797729492
hill_climbing,"[8, 0, 5, 9, 2, 4, 7, 7, 3, 1]",10,2,4,0.004002809524536133
hill_climbing,"[2, 4, 6, 1, 9, 5, 0, 0, 7, 0]",10,2,5,0.005089521408081055
hill_climbing,"[3, 6, 8, 2, 9, 5, 0, 1, 4, 7]",10,3,4,0.0030095577239990234
hill_climbing,"[0, 5, 9, 6, 4, 2, 8, 3, 7, 1]",10,2,4,0.0039904117584228516
hill_climbing,"[6, 0, 0, 4, 9, 7, 3, 1, 8, 2]",10,1,5,0.004004955291748047
hill_climbing,"[1, 7, 9, 5, 2, 4, 9, 0, 8, 3]",10,2,4,0.005022764205932617
hill_climbing,"[1, 3, 2, 11, 8, 4, 9, 0, 5, 7, 6, 0]",12,3,5,0.00895547866821289
hill_climbing,"[11, 7, 1, 6, 2, 9, 6, 0, 10, 4, 6, 8]",12,2,5,0.008955001831054688
hill_climbing,"[7, 2, 10, 8, 4, 9, 0, 6, 11, 1, 5, 7]",12,1,6,0.011994600296020508
hill_climbing,"[10, 5, 10, 6, 9, 0, 2, 1, 3, 7, 11, 8]",12,3,4,0.01109170913696289
hill_climbing,"[7, 11, 3, 6, 2, 9, 5, 1, 10, 4, 0, 8]",12,0,5,0.008957386016845703
hill_climbing,"[2, 6, 8, 10, 7, 3, 0, 4, 1, 5, 9, 11]",12,1,7,0.012311697006225586
hill_climbing,"[4, 2, 8, 10, 4, 1, 11, 9, 11, 0, 5, 3]",12,2,6,0.011036157608032227
hill_climbing,"[9, 3, 8, 2, 7, 10, 1, 5, 0, 10, 4, 11]",12,1,6,0.013999700546264648
hill_climbing,"[2, 5, 8, 0, 11, 4, 7, 1, 4, 9, 1, 6]",12,2,5,0.009969949722290039
hill_climbing,"[2, 11, 1, 7, 5, 10, 0, 0, 3, 9, 6, 8]",12,1,7,0.013002634048461914
hill_climbing,"[6, 10, 1, 5, 0, 8, 4, 2, 9, 3, 7, 11]",12,1,4,0.012235403060913086
hill_climbing,"[11, 9, 3, 0, 2, 8, 6, 1, 10, 5, 7, 4]",12,1,7,0.015999317169189453
hill_climbing,"[1, 11, 8, 10, 2, 2, 9, 7, 3, 0, 6, 4]",12,2,5,0.011048555374145508
hill_climbing,"[11, 7, 2, 4, 9, 8, 10, 5, 1, 5, 0, 6]",12,2,6,0.010000944137573242
hill_climbing,"[5, 7, 0, 10, 6, 4, 1, 11, 9, 3, 10, 8]",12,1,6,0.011269569396972656
hill_climbing,"[4, 8, 0, 9, 1, 6, 2, 7, 11, 11, 3, 5]",12,1,5,0.015325069427490234
hill_climbing,"[9, 0, 8, 5, 1, 10, 6, 11, 3, 7, 4, 2]",12,0,7,0.014017105102539062
hill_climbing,"[2, 4, 7, 0, 2, 9, 2, 6, 2, 10, 1, 11]",12,3,4,0.012279748916625977
hill_climbing,"[8, 9, 11, 6, 2, 0, 10, 4, 7, 5, 3, 1]",12,2,5,0.009003639221191406
hill_climbing,"[0, 3, 5, 2, 8, 10, 4, 6, 1, 5, 7, 9]",12,3,5,0.010001420974731445
hill_climbing,"[1, 4, 10, 3, 11, 2, 5, 9, 6, 8, 0, 7]",12,1,7,0.012003421783447266
hill_climbing,"[5, 2, 9, 3, 10, 4, 2, 0, 11, 1, 7, 9]",12,2,6,0.010920524597167969
hill_climbing,"[11, 5, 0, 4, 10, 1, 9, 2, 8, 3, 7, 2]",12,2,6,0.012073516845703125
hill_climbing,"[0, 3, 1, 8, 1, 9, 9, 2, 4, 7, 11, 2]",12,3,5,0.009005546569824219
hill_climbing,"[4, 11, 3, 8, 10, 1, 3, 6, 0, 11, 9, 5]",12,3,3,0.007311582565307617
hill_climbing,"[1, 6, 11, 7, 10, 3, 0, 9, 4, 2, 5, 8]",12,0,8,0.015133142471313477
hill_climbing,"[5, 11, 0, 10, 7, 1, 8, 2, 2, 6, 9, 3]",12,2,6,0.011011362075805664
hill_climbing,"[8, 2, 4, 10, 7, 11, 3, 0, 4, 1, 9, 6]",12,1,7,0.013001680374145508
