episode_number,episode_reward,episode_length,episode_time_seconds,policy_loss,value_loss,total_loss
1,94.0,629,0.2560844421386719,,,
2,511.0,1402,0.5539886951446533,,,
3,206.5,823,0.33235764503479004,,,
4,117.0,734,0.2966022491455078,,,
5,42.0,508,0.20838069915771484,,,
6,14.0,388,0.15805387496948242,,,
7,48.5,392,0.15934157371520996,,,
8,46.5,423,0.17217683792114258,,,
9,66.0,627,0.255387544631958,,,
10,153.5,995,0.40186262130737305,,,
11,113.5,713,0.2904784679412842,,,
12,104.5,671,0.2723252773284912,,,
13,100.5,577,0.2351701259613037,,,
14,194.0,806,0.32506775856018066,,,
15,217.5,1062,2.741419792175293,,,0.1246618926525116
16,74.5,585,1.3182170391082764,,,0.031172502785921097
17,107.5,593,1.3326301574707031,,,0.12068472802639008
18,98.0,737,1.6648826599121094,,,0.2569926083087921
19,207.5,855,1.9193553924560547,,,0.00018815218936651945
20,239.0,1025,2.3117828369140625,,,0.30683934688568115
21,286.5,1107,2.5834875106811523,,,0.40909624099731445
22,159.0,1229,2.9532406330108643,,,0.23282548785209656
23,104.0,532,1.2580907344818115,,,0.17905572056770325
24,129.5,561,1.3072497844696045,,,0.15310899913311005
25,41.5,383,0.9170994758605957,,,0.5601231455802917
26,163.5,726,1.7026772499084473,,,0.000678989221341908
27,24.5,377,0.8992152214050293,,,0.06622049957513809
28,162.0,714,1.6669435501098633,,,0.22670547664165497
29,173.5,745,1.6838843822479248,,,0.37126630544662476
30,102.0,696,1.5844614505767822,,,0.03533914312720299
31,130.5,708,1.5982599258422852,,,0.3586660623550415
32,133.5,793,1.7918272018432617,,,0.0033079483546316624
33,161.5,650,1.5081241130828857,,,0.1848696917295456
34,103.0,604,1.3971827030181885,,,0.1475098580121994
35,68.5,616,1.4173064231872559,,,0.1376754194498062
36,113.5,812,1.9443681240081787,,,0.10130247473716736
37,123.5,762,1.8201649188995361,,,0.0015412108041346073
38,188.0,929,2.1255431175231934,,,0.09606298804283142
39,95.5,598,1.3807964324951172,,,0.38183319568634033
40,285.0,904,2.0626275539398193,,,0.12111321836709976
41,287.0,1037,2.37397837638855,,,0.0012422642903402448
42,85.5,505,1.1731460094451904,,,0.5991383790969849
43,155.5,683,1.5712306499481201,,,0.2060440480709076
44,209.0,936,2.140634536743164,,,0.5059764385223389
45,189.5,939,2.1507537364959717,,,0.27333611249923706
46,96.0,629,1.458561897277832,,,0.39907485246658325
47,110.5,847,1.9634525775909424,,,0.18443553149700165
48,155.0,741,1.715451717376709,,,0.031293127685785294
49,80.0,452,1.0516338348388672,,,0.27428728342056274
50,164.5,681,1.585724115371704,,,0.0014870658051222563
51,183.5,648,1.49757981300354,,,0.01530160941183567
52,106.0,723,1.6810188293457031,,,0.34079235792160034
53,189.5,631,1.4671533107757568,,,0.0035555469803512096
54,107.0,701,1.6158616542816162,,,0.19378381967544556
55,218.0,979,2.273096799850464,,,0.3754010498523712
56,43.5,387,0.9007058143615723,,,0.312755286693573
57,210.0,924,2.1457855701446533,,,0.27944159507751465
