episode_number,episode_reward,episode_length,episode_time_seconds,policy_loss,value_loss,total_loss
1,9.0,348,0.14209747314453125,,,
2,166.5,537,0.2191939353942871,,,
3,181.0,769,0.3508756160736084,,,
4,156.5,811,0.32789087295532227,,,
5,45.0,571,0.2311842441558838,,,
6,458.5,947,0.3749501705169678,,,
7,60.0,545,0.2227768898010254,,,
8,18.5,500,0.20575308799743652,,,
9,133.5,665,0.2689950466156006,,,
10,74.5,554,0.22286486625671387,,,
11,46.5,517,0.21141457557678223,,,
12,135.0,701,0.28196191787719727,,,
13,147.0,685,0.27447080612182617,,,
14,47.5,477,0.19166350364685059,,,
15,318.0,1321,0.5222976207733154,,,
16,145.0,404,0.16327977180480957,,,
17,71.0,567,0.22879385948181152,,,
18,132.0,803,0.3334622383117676,,,
19,54.5,496,0.20574116706848145,,,
20,119.0,729,0.29688358306884766,,,
21,91.5,541,0.21936416625976562,,,
22,72.0,516,0.20974469184875488,,,
23,277.5,686,0.2756185531616211,,,
24,153.0,749,0.3013772964477539,,,
25,211.5,887,0.3544130325317383,,,
26,219.5,1320,0.5194234848022461,,,
27,148.0,701,0.28150439262390137,,,
28,171.5,716,0.2864079475402832,,,
29,218.0,1041,0.41355395317077637,,,
30,32.0,551,0.22159337997436523,,,
31,186.5,676,0.2709994316101074,,,
32,107.5,907,0.3645296096801758,,,
33,129.0,651,0.26198863983154297,,,
34,109.5,357,0.14365315437316895,,,
35,103.0,621,0.24899840354919434,,,
36,51.0,603,0.24316906929016113,,,
37,133.0,785,0.3155350685119629,,,
38,36.5,497,0.19832897186279297,,,
39,46.5,375,0.15189146995544434,,,
40,123.5,590,0.23698067665100098,,,
41,438.5,1196,0.4698958396911621,,,
42,70.0,413,0.16760706901550293,,,
43,98.5,963,0.38519978523254395,,,
44,73.5,653,0.26314640045166016,,,
45,125.5,647,0.25948524475097656,,,
46,158.5,1071,0.42661142349243164,,,
47,315.0,723,0.29012441635131836,,,
48,382.0,1196,0.47688841819763184,,,
49,306.5,1050,0.41219353675842285,,,
50,148.0,789,0.3137800693511963,,,
51,4.5,413,0.1669602394104004,,,
52,106.5,689,0.283128023147583,,,
53,18.0,587,0.2383861541748047,,,
54,49.5,431,0.17421460151672363,,,
55,169.5,691,0.27768492698669434,,,
56,124.0,771,0.31046319007873535,,,
57,191.0,1317,0.52239990234375,,,
58,318.5,791,0.31547093391418457,,,
59,83.0,709,0.2832040786743164,,,
60,418.0,795,0.31683802604675293,,,
61,184.5,659,0.26386380195617676,,,
62,94.5,558,0.22394585609436035,,,
63,93.5,513,0.2061469554901123,,,
64,248.5,1048,0.41565847396850586,,,
65,334.5,893,0.3558938503265381,,,
66,90.0,601,0.24203205108642578,,,
67,155.5,649,0.26100921630859375,,,
68,131.0,723,0.2907116413116455,,,
69,161.5,696,0.28324246406555176,,,
70,70.5,413,0.16884851455688477,,,
71,71.5,385,0.15663480758666992,,,
72,108.0,587,0.2366478443145752,,,
73,65.5,391,0.15938973426818848,,,
74,109.5,648,0.2633085250854492,,,
75,82.5,513,0.20616888999938965,,,
76,60.0,547,0.22077131271362305,,,
77,252.5,995,0.39889097213745117,,,
78,40.5,387,0.1571667194366455,,,
79,63.5,539,0.218766450881958,,,
80,66.0,512,0.20732522010803223,,,
81,148.0,799,0.32160401344299316,,,
82,120.0,523,0.21561431884765625,,,
83,151.5,703,0.28208088874816895,,,
84,92.5,501,0.20301365852355957,,,
85,28.5,401,0.16223382949829102,,,
86,188.5,1325,0.5250356197357178,,,
87,27.0,407,0.1647038459777832,,,
88,395.5,811,0.3259096145629883,,,
89,198.5,861,0.34510326385498047,,,
90,69.5,472,0.19024920463562012,,,
91,314.0,1013,0.3993194103240967,,,
92,168.0,793,0.3171522617340088,,,
93,126.0,852,0.34265899658203125,,,
94,121.5,678,0.2728917598724365,,,
95,76.0,610,0.2456674575805664,,,
96,121.0,955,0.38266944885253906,,,
97,92.0,471,0.19046449661254883,,,
98,20.0,519,0.20911717414855957,,,
99,95.5,491,0.1975843906402588,,,
100,105.0,692,0.27772998809814453,,,
101,65.0,503,0.20424270629882812,,,
102,141.5,557,0.2232503890991211,,,
103,44.5,401,0.16294002532958984,,,
104,77.5,559,0.22514891624450684,,,
105,305.0,961,0.38088345527648926,,,
106,146.5,965,0.38484811782836914,,,
107,122.0,615,0.2476329803466797,,,
108,130.0,1073,0.42963504791259766,,,
109,104.5,619,0.24843287467956543,,,
110,66.5,405,0.16432571411132812,,,
111,41.5,563,0.22614192962646484,,,
112,165.0,908,0.36498022079467773,,,
113,125.5,705,0.2848358154296875,,,
114,200.0,831,0.33190488815307617,,,
115,235.5,1071,0.428865909576416,,,
116,149.0,789,0.31801819801330566,,,
117,264.0,1012,0.4030749797821045,,,
118,72.5,507,0.20353388786315918,,,
119,141.5,635,0.255845308303833,,,
120,60.5,385,0.15655255317687988,,,
121,111.5,615,0.24877214431762695,,,
122,54.5,497,0.19897103309631348,,,
123,316.0,857,0.34229588508605957,,,
