episode_number,episode_reward,episode_length,episode_time_seconds,policy_loss,value_loss,total_loss
1,3.0,556,0.23686480522155762,,,
2,2.0,435,0.1893143653869629,,,
3,1.0,511,0.21845555305480957,,,
4,-1.0,397,0.17179179191589355,,,
5,9.0,919,0.39243626594543457,,,
6,1.0,391,0.1691601276397705,,,
7,4.0,626,0.2648453712463379,,,
8,5.0,656,0.2800314426422119,,,
9,8.0,1051,0.4448435306549072,,,
10,10.0,1211,0.5010676383972168,,,
11,2.0,406,0.1718435287475586,,,
12,1.0,401,0.17053484916687012,,,
13,3.0,418,0.17702484130859375,,,
14,11.0,747,0.3128242492675781,,,
15,19.0,1172,0.48221921920776367,,,
16,8.0,791,0.3453381061553955,,,
17,12.0,883,0.3685643672943115,,,
18,7.0,781,0.328049898147583,,,
19,14.0,862,0.3626251220703125,,,
20,7.0,609,0.25615954399108887,,,
21,10.0,923,0.384716272354126,,,
22,12.0,953,0.3960142135620117,,,
23,5.0,577,0.24201369285583496,,,
24,3.0,635,0.26985836029052734,,,
25,5.0,837,0.357769250869751,,,
26,1.0,342,0.14441967010498047,,,
27,3.0,662,0.2777245044708252,,,
28,6.0,778,0.32216477394104004,,,
29,9.0,863,0.36106133460998535,,,
30,32.0,1596,0.6365213394165039,,,
31,5.0,769,0.32147955894470215,,,
32,3.0,619,0.2628443241119385,,,
33,4.0,389,0.16663026809692383,,,
34,10.0,863,0.36359381675720215,,,
35,7.0,775,0.32797932624816895,,,
36,6.0,1112,0.46207165718078613,,,
37,11.0,1192,0.5033190250396729,,,
38,2.0,363,0.1556072235107422,,,
39,4.0,389,0.16492843627929688,,,
40,9.0,785,0.32898855209350586,,,
41,16.0,1108,0.4594569206237793,,,
42,5.0,589,0.24776268005371094,,,
43,6.0,753,0.3156397342681885,,,
44,9.0,836,0.3519899845123291,,,
45,8.0,704,0.29681873321533203,,,
46,8.0,957,0.4064140319824219,,,
47,3.0,472,0.201385498046875,,,
48,6.0,714,0.30366086959838867,,,
49,8.0,611,0.25910377502441406,,,
50,2.0,502,0.21300220489501953,,,
51,11.0,964,0.40309739112854004,,,
52,0.0,405,0.17287182807922363,,,
53,5.0,506,0.21378707885742188,,,
54,3.0,531,0.22427010536193848,,,
55,1.0,580,0.24481773376464844,,,
56,19.0,1541,0.6337792873382568,,,
57,7.0,780,0.3291959762573242,,,
58,14.0,1011,0.420790433883667,,,
59,4.0,629,0.264681339263916,,,
60,6.0,696,0.2934398651123047,,,
61,13.0,1709,0.7052381038665771,,,
62,11.0,1398,0.5789258480072021,,,
63,7.0,643,0.271618127822876,,,
64,4.0,661,0.27972912788391113,,,
65,6.0,483,0.2036454677581787,,,
66,6.0,688,0.2892875671386719,,,
67,6.0,701,0.29405999183654785,,,
68,8.0,870,0.36460280418395996,,,
69,6.0,601,0.2526826858520508,,,
70,18.0,1050,0.4356374740600586,,,
71,28.0,1419,0.5792040824890137,,,
72,10.0,1037,0.430957555770874,,,
73,5.0,547,0.23065400123596191,,,
74,6.0,353,0.14871692657470703,,,
75,17.0,1285,0.5300378799438477,,,
76,6.0,395,0.16602158546447754,,,
77,5.0,545,0.22910189628601074,,,
78,4.0,689,0.28943371772766113,,,
79,5.0,517,0.21648216247558594,,,
80,5.0,853,0.35651230812072754,,,
81,3.0,700,0.29500603675842285,,,
82,9.0,659,0.2773435115814209,,,
83,10.0,959,0.4008817672729492,,,
84,12.0,839,0.3508591651916504,,,
85,5.0,577,0.24292945861816406,,,
86,9.0,697,0.2929706573486328,,,
87,4.0,520,0.21995925903320312,,,
88,2.0,567,0.24726390838623047,,,
89,7.0,785,0.34597349166870117,,,
90,9.0,777,0.3276193141937256,,,
91,17.0,1148,0.4808204174041748,,,
92,10.0,713,0.30095887184143066,,,
93,14.0,941,0.39664149284362793,,,
94,3.0,393,0.1673576831817627,,,
95,10.0,895,0.3758094310760498,,,
96,8.0,763,0.34253811836242676,,,
97,8.0,771,0.3462212085723877,,,
98,3.0,483,0.20312809944152832,,,
99,5.0,563,0.2376234531402588,,,
100,15.0,1022,0.4258565902709961,,,
101,15.0,1032,0.4248788356781006,,,
102,4.0,522,0.23145461082458496,,,
103,9.0,649,0.29560112953186035,,,
104,7.0,629,0.26572537422180176,,,
105,4.0,417,0.1764509677886963,,,
106,-3.0,468,0.19708538055419922,,,
107,5.0,708,0.29884958267211914,,,
108,9.0,654,0.2781820297241211,,,
109,14.0,921,0.3870694637298584,,,
110,12.0,1048,0.44063591957092285,,,
111,10.0,871,0.3628113269805908,,,
112,2.0,497,0.20834088325500488,,,
113,5.0,683,0.2868800163269043,,,
114,18.0,1305,0.5364665985107422,,,
115,3.0,443,0.1873173713684082,,,
116,5.0,659,0.2785913944244385,,,
117,6.0,563,0.23748350143432617,,,
118,8.0,761,0.32025647163391113,,,
119,5.0,509,0.22156786918640137,,,
120,6.0,794,0.34055328369140625,,,
121,6.0,765,0.3222806453704834,,,
122,10.0,806,0.3398115634918213,,,
123,15.0,1078,0.453885555267334,,,
124,5.0,715,0.3026564121246338,,,
125,4.0,514,0.21851611137390137,,,
126,3.0,379,0.16112351417541504,,,
127,11.0,881,0.3716092109680176,,,
128,4.0,613,0.25835204124450684,,,
129,13.0,960,0.4261336326599121,,,
130,0.0,549,0.2715175151824951,,,
131,13.0,741,0.36244750022888184,,,
132,3.0,564,0.3173389434814453,,,
133,4.0,588,0.33034348487854004,,,
134,3.0,662,0.39183855056762695,,,
135,13.0,1085,1.9390590190887451,,,4.581626126309857e-05
136,8.0,527,1.4323995113372803,,,0.015029502101242542
137,8.0,1115,2.887221336364746,,,5.596460323431529e-05
138,5.0,668,1.7298736572265625,,,0.003935337997972965
139,9.0,641,1.6720695495605469,,,0.007662287447601557
140,10.0,834,2.1535696983337402,,,5.4788750276202336e-05
141,5.0,544,1.4096882343292236,,,0.014908313751220703
142,3.0,415,1.0843226909637451,,,0.003822474041953683
143,3.0,379,1.006075143814087,,,0.003727087751030922
144,8.0,683,1.8024439811706543,,,0.0042535411193966866
145,5.0,597,1.572216272354126,,,0.007435412146151066
146,6.0,684,1.7746927738189697,,,0.007656807545572519
147,13.0,761,1.971081018447876,,,0.003819356905296445
148,2.0,597,1.5427021980285645,,,0.011336466297507286
149,10.0,1051,2.744967460632324,,,6.987846427364275e-05
150,7.0,591,1.5338358879089355,,,0.015090618282556534
151,7.0,993,2.603520393371582,,,0.00013662884884979576
152,3.0,590,1.6187286376953125,,,0.02269177883863449
153,4.0,724,2.04398250579834,,,0.003828594693914056
154,7.0,729,1.9490430355072021,,,0.015564262866973877
155,6.0,683,1.8332781791687012,,,7.970103615662083e-05
156,6.0,543,1.4493310451507568,,,0.0036978591233491898
157,3.0,682,1.8332140445709229,,,0.007484294939786196
158,6.0,634,1.6936876773834229,,,0.0036510773934423923
