episode_number,episode_reward,episode_length,episode_time_seconds,policy_loss,value_loss,total_loss
1,2.0,546,0.9456422328948975,,,
2,12.0,741,0.7505052089691162,,0.027749998029321432,-0.011354245245456696
3,8.0,699,0.7191972732543945,,0.10259111411869526,0.020632809028029442
4,5.0,535,0.5598375797271729,,0.1773353684693575,0.04173557460308075
5,7.0,547,0.570218563079834,,0.0838153874501586,0.014010438695549965
6,6.0,393,0.4245445728302002,,0.06604393012821674,0.0028111450374126434
7,4.0,403,0.432361364364624,,0.08723857998847961,0.018089232966303825
8,9.0,386,0.41739487648010254,,0.06875143991783261,0.006661374121904373
9,7.0,373,0.4064784049987793,,0.10161596722900867,0.024642961099743843
10,5.0,612,0.639779806137085,,0.10691007785499096,0.017633629962801933
11,7.0,590,0.6108255386352539,,0.06121523026376963,-0.00035993941128253937
12,8.0,701,0.716026782989502,,0.10019985493272543,0.0165022574365139
13,15.0,803,0.8609499931335449,,0.031179754761978984,-0.007150374352931976
14,12.0,796,0.8046650886535645,,0.06918044202029705,0.008769592270255089
15,10.0,655,0.7235586643218994,,0.0857219398021698,0.008276127278804779
16,6.0,643,0.66017746925354,,0.044452755246311426,-0.0017321910709142685
17,9.0,674,0.6859533786773682,,0.0778074748814106,0.017927348613739014
18,17.0,1155,1.1825382709503174,,0.07606413960456848,0.008562594652175903
19,23.0,1243,1.3125722408294678,,0.11120242718607187,0.021387780085206032
20,10.0,711,0.7208292484283447,,0.3054013680666685,0.1039133071899414
21,6.0,546,0.5674567222595215,,0.13615043833851814,0.015871316194534302
22,9.0,393,0.42070841789245605,,0.2085682936012745,0.10172561556100845
23,16.0,953,0.9979050159454346,,0.15506588481366634,0.040242236107587814
24,22.0,1075,1.1056747436523438,,0.17266471683979034,0.045977912843227386
25,5.0,466,0.4909849166870117,,0.14327950775623322,0.03405429422855377
26,18.0,764,0.768357515335083,,0.16358839347958565,0.04539134353399277
27,20.0,1041,1.1223502159118652,,0.09711564145982265,0.02320409007370472
28,24.0,1082,1.116206169128418,,0.20582285709679127,0.05492869019508362
29,9.0,567,0.5880773067474365,,0.12469464354217052,0.025620486587285995
30,9.0,607,0.6218061447143555,,0.1682371087372303,0.04295634105801582
31,15.0,823,0.8729219436645508,,0.1931496560573578,0.0658038854598999
32,10.0,925,0.9196426868438721,,0.12472398672252893,0.02530558779835701
33,7.0,597,0.6635847091674805,,0.22376644425094128,0.05627913400530815
34,4.0,343,0.3243093490600586,,0.22376644425094128,0.05627913400530815
35,18.0,940,0.9827117919921875,,0.14032529201358557,0.03911128267645836
36,4.0,335,0.3677995204925537,,0.07204031106084585,0.011457327753305435
37,21.0,744,0.7496395111083984,,0.14159263018518686,0.044566549360752106
38,21.0,961,0.9945201873779297,,0.2448258213698864,0.07968065142631531
39,13.0,605,0.6215832233428955,,0.18519672565162182,0.049497656524181366
40,7.0,492,0.515678882598877,,0.17811613529920578,0.04495685547590256
41,9.0,630,0.6444218158721924,,0.1489006346091628,0.045127369463443756
42,25.0,975,1.0093865394592285,,0.13504233956336975,0.026992393657565117
43,3.0,572,0.5889425277709961,,0.2221398539841175,0.06539802253246307
44,2.0,320,0.3531076908111572,,0.1111309677362442,0.02577214315533638
45,24.0,874,0.9172539710998535,,0.2837770991027355,0.10839736461639404
46,19.0,884,0.8809044361114502,,0.1530008614063263,0.04548877477645874
47,6.0,523,0.5429885387420654,,0.16709263995289803,0.06331869214773178
48,10.0,707,0.7692320346832275,,0.11637809220701456,0.03485645726323128
49,8.0,526,0.5480859279632568,,0.08178839134052396,0.011998282745480537
50,13.0,666,0.6784923076629639,,0.1408168449997902,0.04385580122470856
51,9.0,535,0.5570032596588135,,0.13118172716349363,0.03948713093996048
52,11.0,670,0.7356822490692139,,0.14229445811361074,0.045847173780202866
53,9.0,477,0.4503498077392578,,0.14229445811361074,0.045847173780202866
54,7.0,525,0.547292947769165,,0.1082183551043272,0.008549291640520096
55,8.0,520,0.5888853073120117,,0.17037196457386017,0.056459322571754456
56,2.0,351,0.3323092460632324,,0.17037196457386017,0.056459322571754456
57,13.0,536,0.5550949573516846,,0.08767602313309908,0.018727488815784454
58,15.0,663,0.7234539985656738,,0.1482914350926876,0.044019270688295364
59,15.0,681,0.6945257186889648,,0.18775424174964428,0.06136532127857208
60,10.0,503,0.5231451988220215,,0.10401352494955063,0.02881862409412861
61,1.0,341,0.3722419738769531,,0.16525369882583618,0.04879450798034668
62,15.0,729,0.7380795478820801,,0.0944487415254116,0.024105804041028023
63,8.0,476,0.4986696243286133,,0.21702675707638264,0.05960892140865326
64,9.0,572,0.5901467800140381,,0.13517691008746624,0.0388483926653862
65,3.0,363,0.39257097244262695,,0.129435196518898,0.04095134884119034
66,11.0,709,0.7161798477172852,,0.1632695011794567,0.060996025800704956
67,13.0,681,0.6916055679321289,,0.09647036902606487,0.029610807076096535
68,21.0,1285,1.3497934341430664,,0.17203008383512497,0.052672624588012695
69,16.0,745,0.7515285015106201,,0.09733137581497431,0.01964268647134304
70,12.0,691,0.7502009868621826,,0.15870820730924606,0.04066865146160126
71,16.0,1140,1.1656527519226074,,0.12146326806396246,0.03609693795442581
72,4.0,371,0.3989255428314209,,0.07574394904077053,0.012778723612427711
73,7.0,497,0.5198025703430176,,0.26340220496058464,0.0931839793920517
74,10.0,611,0.6248471736907959,,0.148337890394032,0.04491052031517029
75,14.0,727,0.7327346801757812,,0.18070602137595415,0.03978067263960838
76,13.0,721,0.7768630981445312,,0.13150740787386894,0.03865893557667732
77,17.0,931,0.9261267185211182,,0.14870866015553474,0.03839737921953201
78,17.0,764,0.8193058967590332,,0.13778448477387428,0.029196202754974365
79,16.0,739,0.7437565326690674,,0.08869110979139805,0.02251242846250534
80,9.0,486,0.5089912414550781,,0.19664271920919418,0.06393962353467941
81,18.0,929,0.9685900211334229,,0.1344834826886654,0.03566713258624077
82,22.0,1041,1.0738003253936768,,0.12985908798873425,0.04831480234861374
83,14.0,681,0.7414848804473877,,0.11128292698413134,0.022896727547049522
84,14.0,662,0.6765408515930176,,0.10914186108857393,0.016882389783859253
85,8.0,511,0.5329971313476562,,0.14637785032391548,0.048179157078266144
86,2.0,418,0.44586873054504395,,0.16420373134315014,0.06112796813249588
87,13.0,697,0.7058260440826416,,0.1720595508813858,0.06542061269283295
88,7.0,516,0.5368826389312744,,0.1450962796807289,0.0331423282623291
89,6.0,408,0.4361412525177002,,0.10728361457586288,0.02993931993842125
90,21.0,869,0.9175703525543213,,0.12808953411877155,0.032050520181655884
91,8.0,557,0.576136589050293,,0.16744906082749367,0.06231069564819336
92,21.0,1171,1.1998348236083984,,0.19782081805169582,0.04336288943886757
93,13.0,654,0.6654236316680908,,0.12151808571070433,0.015180215239524841
94,18.0,765,0.8226401805877686,,0.11800212599337101,0.04085782542824745
95,11.0,574,0.5963623523712158,,0.14329870231449604,0.04467286914587021
96,14.0,668,0.6995973587036133,,0.15442316979169846,0.052369412034749985
97,14.0,612,0.6364452838897705,,0.12658244371414185,0.03866596519947052
98,11.0,504,0.5350368022918701,,0.08426311425864697,0.026686374098062515
99,14.0,1236,1.3289294242858887,,0.10789964813739061,0.02730235457420349
100,21.0,1040,1.080012321472168,,0.10020627733319998,0.023974966257810593
101,16.0,749,0.7655510902404785,,0.10303446091711521,0.013326099142432213
102,15.0,599,0.6194500923156738,,0.15228655003011227,0.057568009942770004
103,18.0,728,0.7879970073699951,,0.125552068464458,0.03597763553261757
104,21.0,703,0.7128310203552246,,0.14059086330235004,0.03533133864402771
105,13.0,579,0.6014008522033691,,0.10062642209231853,0.04249787703156471
106,14.0,598,0.6166820526123047,,0.14957343228161335,0.053620919585227966
107,13.0,1118,1.2104697227478027,,0.08416281454265118,0.025888213887810707
108,20.0,678,0.6970293521881104,,0.09055698476731777,0.024033915251493454
109,23.0,915,0.9667923450469971,,0.1658329190686345,0.041206978261470795
110,16.0,1231,1.2582812309265137,,0.17757390812039375,0.06356396526098251
111,15.0,513,0.5376250743865967,,0.041765299858525395,-0.0009800596162676811
112,14.0,540,0.5624217987060547,,0.07797918282449245,0.0032922662794589996
113,12.0,501,0.5285391807556152,,0.12707734014838934,0.032624486833810806
114,15.0,1134,1.1748852729797363,,0.14685943443328142,0.04737866297364235
115,19.0,725,0.7887580394744873,,0.07173349056392908,0.014953500591218472
116,16.0,581,0.5988709926605225,,0.13049960043281317,0.04211634397506714
117,16.0,1146,1.1823043823242188,,0.12027122545987368,0.03848988562822342
118,14.0,661,0.6796321868896484,,0.042141875717788935,-0.00931304506957531
119,4.0,465,0.5032925605773926,,0.10035335272550583,0.02223801612854004
120,5.0,501,0.5249545574188232,,0.10050736367702484,0.015614749863743782
121,6.0,476,0.49966931343078613,,0.31057594157755375,0.10509289056062698
122,21.0,943,0.9851400852203369,,0.11201467923820019,0.03328405320644379
123,14.0,699,0.7078075408935547,,0.13793408498167992,0.045345429331064224
124,3.0,371,0.41327953338623047,,0.16952725499868393,0.04563775286078453
125,14.0,807,0.8671119213104248,,0.147013857960701,0.06064111739397049
126,10.0,521,0.5410144329071045,,0.1422829683870077,0.04769477993249893
127,19.0,1031,1.0636773109436035,,0.19188084080815315,0.07083152234554291
