episode_number,episode_reward,episode_length,episode_time_seconds,policy_loss,value_loss,total_loss
1,41.0,1116,1.2719273567199707,,0.08087007980793715,0.014188947156071663
2,57.0,1666,1.7207818031311035,,0.08608811069279909,-0.0023371540009975433
3,74.0,2275,2.3214805126190186,,0.28959931060671806,0.09676600992679596
4,34.0,849,0.9037420749664307,,0.4231502451002598,0.15475375950336456
5,30.0,1169,1.2070035934448242,,0.21839535050094128,0.07232014089822769
6,65.0,2009,2.0946545600891113,,0.21649019047617912,0.07169860601425171
7,31.0,862,0.909294605255127,,0.15080257318913937,0.03343789651989937
8,42.0,1130,1.1655075550079346,,0.129510547965765,0.0343753844499588
9,31.0,913,0.9670259952545166,,0.4140014722943306,0.15439274907112122
10,33.0,1034,1.0739521980285645,,0.15195500664412975,0.03149404376745224
11,66.0,2081,2.160867214202881,,0.26278419606387615,0.10176263749599457
12,68.0,2038,2.124115467071533,,0.23910649120807648,0.08140721172094345
13,68.0,1815,1.9182829856872559,,0.19590128026902676,0.05524001270532608
14,32.0,981,0.9638419151306152,,0.14917060360312462,0.022953171283006668
15,39.0,1195,1.2854418754577637,,0.14046351797878742,0.03141997754573822
16,28.0,1075,1.117224931716919,,0.4650816470384598,0.1721472293138504
17,33.0,913,0.9634518623352051,,0.12929041869938374,0.02947850152850151
18,65.0,2005,2.086258888244629,,0.21348886936903,0.0677342414855957
19,69.0,1863,1.8983924388885498,,0.22729518078267574,0.07341249287128448
20,61.0,2107,2.180948257446289,,0.11040962487459183,0.019932031631469727
21,32.0,1061,1.1040325164794922,,0.13797003962099552,0.03965684026479721
22,33.0,1063,1.0980415344238281,,0.13687517773360014,0.037676263600587845
23,36.0,1214,1.2991468906402588,,0.17523369193077087,0.04917878285050392
24,31.0,1022,1.0672364234924316,,0.42847491800785065,0.18123552203178406
25,31.0,1283,1.3110828399658203,,0.11198036838322878,0.03421100229024887
26,32.0,1276,1.346639633178711,,0.07239358592778444,-0.011049091815948486
27,40.0,1382,1.4441909790039062,,0.0791797786951065,0.010798661038279533
28,29.0,1371,1.3742587566375732,,0.15268642082810402,0.04360387474298477
29,68.0,2273,2.382017135620117,,0.16864116862416267,0.04218626767396927
30,59.0,1613,1.6687049865722656,,0.11935217212885618,0.012113947421312332
31,31.0,1097,1.121309757232666,,0.13035122584551573,0.03568524867296219
32,34.0,849,0.9054648876190186,,0.09786913450807333,0.03690788149833679
33,67.0,2023,2.0934579372406006,,0.1654519196599722,0.05272761732339859
34,68.0,1834,1.8604490756988525,,0.2770115714520216,0.13091158866882324
35,61.0,1769,1.8767859935760498,,0.16790195181965828,0.03450914844870567
36,32.0,1182,1.2040910720825195,,0.1844715178012848,0.06834085285663605
37,67.0,2179,2.242748737335205,,0.16906554251909256,0.04209442064166069
38,61.0,1673,1.7241249084472656,,0.06216009333729744,-0.006700638681650162
39,31.0,1131,1.216996192932129,,0.0690966178663075,0.010313272476196289
40,39.0,1255,1.2813074588775635,,0.17146982811391354,0.0647110641002655
41,31.0,1085,1.1157433986663818,,0.486319612711668,0.17863404750823975
42,32.0,1245,1.3304014205932617,,0.20806912705302238,0.0711708515882492
43,66.0,1975,1.9991471767425537,,0.08441703021526337,-0.003923244774341583
44,35.0,1107,1.1913371086120605,,0.19451318494975567,0.06668780744075775
45,27.0,1071,1.1052005290985107,,0.33600848354399204,0.1017400473356247
46,41.0,1315,1.3332633972167969,,0.11376947443932295,0.0429154671728611
47,62.0,2299,2.408235549926758,,0.21041466481983662,0.07688038051128387
48,23.0,876,0.9354846477508545,,0.17548980377614498,0.04725972190499306
49,32.0,814,0.8139770030975342,,0.18690387532114983,0.025958646088838577
50,65.0,2318,2.4486916065216064,,0.1960253156721592,0.052205607295036316
51,59.0,1615,1.6710646152496338,,0.10113981552422047,0.017128463834524155
52,66.0,2341,2.3861331939697266,,0.15313478745520115,0.03261769562959671
53,32.0,1123,1.2082135677337646,,0.17502552084624767,0.05112909898161888
54,56.0,1707,1.7553622722625732,,0.15411832369863987,0.026890262961387634
55,41.0,1391,1.4595398902893066,,0.13559544272720814,0.024914342910051346
56,67.0,2102,2.1731839179992676,,0.2385146338492632,0.08352712541818619
57,30.0,1019,1.0565266609191895,,0.25502675399184227,0.09399973601102829
58,61.0,1689,1.7395453453063965,,0.23637093789875507,0.08650457859039307
59,32.0,981,1.0268433094024658,,0.11970175616443157,0.028295107185840607
60,32.0,1079,1.10581374168396,,0.27268886379897594,0.08780861645936966
61,63.0,1711,1.7568445205688477,,0.09703096188604832,0.0045040324330329895
62,32.0,894,0.9391019344329834,,0.17758848890662193,0.05647118389606476
63,33.0,1035,1.0637657642364502,,0.10096667613834143,0.026453157886862755
64,33.0,1037,1.0689501762390137,,0.11791371367871761,0.0346863716840744
65,30.0,897,0.9519317150115967,,0.3057045340538025,0.11192448437213898
66,68.0,2211,2.2637102603912354,,0.15804152563214302,0.03834199532866478
67,40.0,1214,1.302145004272461,,0.11059411242604256,0.027344239875674248
68,30.0,965,0.9515788555145264,,0.17584570683538914,0.04818093776702881
69,61.0,1642,1.754340410232544,,0.19236871041357517,0.05219519883394241
70,101.0,3011,3.1268327236175537,,0.3742625564336777,0.12958908081054688
71,32.0,781,0.7826375961303711,,0.3756730258464813,0.13258367776870728
72,43.0,1221,1.2371678352355957,,0.1544892806559801,0.03874080255627632
73,58.0,1680,1.7786355018615723,,0.19283359125256538,0.050845663994550705
74,32.0,992,1.0279171466827393,,0.158868670463562,0.051157839596271515
75,33.0,917,0.903639554977417,,0.09152560029178858,0.013602834194898605
76,61.0,1861,1.9418141841888428,,0.13855952490121126,0.02387082576751709
77,59.0,1672,1.7056317329406738,,0.12685910798609257,0.02285303734242916
78,75.0,2223,2.3496742248535156,,0.1415106374770403,0.014169301837682724
79,32.0,909,0.9566175937652588,,0.18091420084238052,0.027161112055182457
80,35.0,1181,1.1988275051116943,,0.07485619746148586,0.014469292014837265
81,28.0,927,0.9821786880493164,,0.41800544783473015,0.15628649294376373
82,31.0,1042,1.081796407699585,,0.10591305047273636,0.027089670300483704
83,69.0,2464,2.494689702987671,,0.2356024906039238,0.07176880538463593
84,33.0,830,0.8828699588775635,,0.18191314674913883,0.04824194684624672
85,63.0,1917,2.0039331912994385,,0.22779482416808605,0.06332074105739594
86,58.0,2089,2.1592211723327637,,0.12261859327554703,0.024269385263323784
87,33.0,1003,1.0361084938049316,,0.12534975819289684,0.022777989506721497
88,32.0,1155,1.1774933338165283,,0.2551650647073984,0.0917438268661499
89,68.0,2068,2.12972354888916,,0.3070601224899292,0.08264428377151489
90,65.0,1939,2.016570806503296,,0.3560652695596218,0.1631990671157837
91,32.0,755,0.7553646564483643,,0.17396335862576962,0.033307161182165146
92,32.0,927,0.9749786853790283,,0.09721328783780336,0.0115467868745327
93,65.0,2031,2.0955536365509033,,0.09524061344563961,0.009912051260471344
94,64.0,1945,2.019986152648926,,0.0952171441167593,0.004942070692777634
95,65.0,1797,1.9064750671386719,,0.27879180386662483,0.09787032008171082
96,32.0,845,0.8397789001464844,,0.19070196524262428,0.04877529293298721
97,31.0,1017,1.052140474319458,,0.11867645010352135,0.026562847197055817
98,65.0,1903,1.9848532676696777,,0.17206979170441628,0.05384758487343788
99,31.0,1134,1.1558213233947754,,0.07502685813233256,0.007304096594452858
100,33.0,804,0.8541181087493896,,0.0956877563148737,0.009888429194688797
101,33.0,740,0.7449870109558105,,0.06940600834786892,0.0013106614351272583
102,33.0,822,0.8685405254364014,,0.10615664906799793,0.022014519199728966
103,66.0,1985,2.0547969341278076,,0.25201474875211716,0.10065005719661713
104,32.0,1023,1.0576591491699219,,0.16766699589788914,0.05977190285921097
105,53.0,1509,1.564074993133545,,0.14086313266307116,0.028664354234933853
106,65.0,1859,1.8922700881958008,,0.22513833176344633,0.10820870101451874
107,31.0,1061,1.0993406772613525,,0.15791180171072483,0.045713964849710464
108,64.0,1858,1.944190263748169,,0.1623954139649868,0.04645702987909317
109,30.0,969,1.0133683681488037,,0.09062893409281969,0.014068340882658958
110,27.0,969,1.0185587406158447,,0.09430748783051968,0.014521371573209763
111,32.0,1041,1.0715773105621338,,0.11734671145677567,0.046608053147792816
112,58.0,1664,1.7122714519500732,,0.1021844195201993,-0.0020193904638290405
113,59.0,1745,1.78556227684021,,0.1459338329732418,0.025681443512439728
114,33.0,1141,1.2230494022369385,,0.06411717226728797,-0.008634312078356743
115,67.0,1728,1.764294147491455,,0.28892326168715954,0.09364282339811325
116,32.0,814,0.871924877166748,,0.14766328036785126,0.05459184944629669
117,32.0,1011,1.0465366840362549,,0.11229358520358801,0.021176662296056747
118,64.0,1826,1.855931043624878,,0.2505368012934923,0.09981894493103027
119,35.0,1074,1.1022989749908447,,0.1252666711807251,0.020200062543153763
120,34.0,789,0.8463733196258545,,0.6596385613083839,0.3104764223098755
121,68.0,2093,2.148271083831787,,0.11225711833685637,0.02228715270757675
122,52.0,1422,1.4827940464019775,,0.1467887181788683,0.0326073095202446
123,32.0,941,0.9231541156768799,,0.2003354448825121,0.09029503911733627
124,29.0,1127,1.215069055557251,,0.3728785440325737,0.1353430151939392
125,54.0,1378,1.3933148384094238,,0.09786649700254202,0.02632230706512928
126,66.0,1989,2.0562732219696045,,0.18666101805865765,0.051691003143787384
127,59.0,1589,1.6516926288604736,,0.06339712487533689,-0.00045327842235565186
128,48.0,1468,1.538593053817749,,0.20689788460731506,0.06492910534143448
129,32.0,1116,1.1456780433654785,,0.3251662813127041,0.12183220684528351
130,31.0,1000,1.0353686809539795,,0.16273665241897106,0.04548349231481552
131,33.0,999,1.0356504917144775,,0.14073002710938454,0.04129035398364067
132,60.0,1667,1.7674076557159424,,0.17083013616502285,0.047814153134822845
133,33.0,1339,1.3412384986877441,,0.11787575669586658,0.02246081456542015
134,49.0,1445,1.5093529224395752,,0.11654054187238216,0.024031125009059906
135,61.0,1849,1.9335522651672363,,0.21150308847427368,0.07051103562116623
136,63.0,1567,1.6166503429412842,,0.2667914405465126,0.08597436547279358
137,29.0,1038,1.0673398971557617,,0.10247135628014803,0.023394953459501266
138,68.0,1917,1.9353981018066406,,0.19687379337847233,0.056116983294487
139,63.0,1945,2.0276296138763428,,0.2951500527560711,0.10567106306552887
140,31.0,1022,1.0574731826782227,,0.20188263058662415,0.07050158828496933
141,57.0,1402,1.4773499965667725,,0.286103256046772,0.12787432968616486
142,33.0,819,0.8719663619995117,,0.15289058350026608,0.046301357448101044
143,64.0,1852,1.8841044902801514,,0.14910135976970196,0.04003283008933067
144,64.0,1731,1.8358376026153564,,0.2727657314389944,0.10296137630939484
145,31.0,915,0.8989081382751465,,0.1351421969011426,0.017622295767068863
146,32.0,1212,1.2818725109100342,,0.077112577855587,0.0033458173274993896
147,67.0,2027,2.086702346801758,,0.14719135407358408,0.03566191345453262
148,66.0,2111,2.1657931804656982,,0.1771780475974083,0.049828361719846725
149,32.0,1012,1.0424444675445557,,0.08631559181958437,0.013153163716197014
150,33.0,877,0.863128662109375,,0.04934325907379389,-0.0096268430352211
151,32.0,963,1.004528284072876,,0.1889276336878538,0.058573316782712936
152,61.0,1965,2.040508270263672,,0.10708132013678551,0.006625335663557053
153,33.0,783,0.8372397422790527,,0.15090677328407764,0.04422575235366821
154,31.0,991,1.021953821182251,,0.10200940538197756,0.007717017084360123
155,57.0,1607,1.6580677032470703,,0.17956852726638317,0.049562711268663406
156,66.0,2123,2.189971685409546,,0.27697979658842087,0.09412029385566711
157,32.0,963,1.000345230102539,,0.11835689190775156,0.03984379023313522
158,67.0,2103,2.1697726249694824,,0.15121944062411785,0.04099571704864502
159,31.0,1230,1.2368545532226562,,0.17416087724268436,0.0471990741789341
160,31.0,1071,1.0932860374450684,,0.1715267151594162,0.05215572565793991
161,31.0,953,0.9886975288391113,,0.13467395585030317,0.025470085442066193
162,55.0,1732,1.834522008895874,,0.16107415221631527,0.04759341850876808
163,67.0,1803,1.828810453414917,,0.15926159173250198,0.04970672354102135
164,63.0,1881,1.9522840976715088,,0.17308319732546806,0.04195888340473175
165,52.0,1514,1.580676794052124,,0.11642911098897457,0.018102098256349564
166,68.0,1985,2.05216646194458,,0.2671083230525255,0.09076780080795288
167,67.0,2135,2.191744565963745,,0.16735699027776718,0.03841177746653557
168,62.0,1765,1.806091070175171,,0.16410092823207378,0.025765564292669296
169,34.0,1086,1.1170380115509033,,0.15915409103035927,0.037669941782951355
170,65.0,1831,1.91558837890625,,0.10257112141698599,0.013845033943653107
171,30.0,1079,1.1070499420166016,,0.15728871151804924,0.041147977113723755
172,23.0,877,0.9317367076873779,,0.11875528004020452,0.02793153002858162
173,32.0,1019,1.05440092086792,,0.1973080113530159,0.07098139822483063
174,31.0,939,0.9761736392974854,,0.2585205156356096,0.10053950548171997
175,49.0,1515,1.5746674537658691,,0.0904630171135068,0.007575899362564087
176,30.0,1226,1.2439191341400146,,0.1585002951323986,0.05175382271409035
177,45.0,1537,1.5916948318481445,,0.14489966724067926,0.04477333649992943
178,67.0,2072,2.1365835666656494,,0.16077857092022896,0.04227738454937935
179,66.0,2082,2.1452574729919434,,0.2444462664425373,0.08597303926944733
180,60.0,1599,1.6492669582366943,,0.0737630957737565,0.005875220522284508
181,32.0,932,0.9719936847686768,,0.236230731010437,0.07014279812574387
182,57.0,1499,1.5651264190673828,,0.23753332905471325,0.07942970842123032
183,29.0,1047,1.079195261001587,,0.2357182614505291,0.07680448144674301
184,43.0,1373,1.4446280002593994,,0.11697080917656422,0.009033501148223877
185,31.0,976,1.0140514373779297,,0.2174402717500925,0.05294244363903999
186,58.0,1455,1.4618151187896729,,0.11272074934095144,0.017639033496379852
187,68.0,2135,2.230051040649414,,0.18648270145058632,0.048806335777044296
188,64.0,1875,1.8881268501281738,,0.0923858368769288,0.003508917987346649
189,34.0,897,0.9420435428619385,,0.15766345337033272,0.03067062795162201
190,67.0,2334,2.426753520965576,,0.16258629783988,0.03251756355166435
191,33.0,854,0.8409333229064941,,0.1313964743167162,0.026268158107995987
192,31.0,1185,1.260453462600708,,0.19274646788835526,0.06759403645992279
193,67.0,1938,1.9418058395385742,,0.16243075393140316,0.044997408986091614
194,68.0,1761,1.843628168106079,,0.14731076918542385,0.04283161088824272
195,60.0,1801,1.8296334743499756,,0.1961081363260746,0.0410003662109375
196,33.0,937,0.9719674587249756,,0.19232907891273499,0.058598387986421585
197,30.0,924,0.9593808650970459,,0.15293710492551327,0.03871532529592514
198,32.0,953,0.9926488399505615,,0.10026950668543577,0.02120094746351242
199,64.0,1864,1.8809559345245361,,0.09161638841032982,0.00359509140253067
200,60.0,1536,1.5964529514312744,,0.07783792819827795,0.006082743406295776
201,32.0,1047,1.0844025611877441,,0.18847982212901115,0.049178458750247955
202,57.0,1649,1.7440969944000244,,0.09956083726137877,0.006566230207681656
203,63.0,1682,1.7165911197662354,,0.10529530514031649,0.014688670635223389
204,32.0,811,0.866424560546875,,0.1346551487222314,0.027513157576322556
205,52.0,1470,1.4788169860839844,,0.13125298637896776,0.03667876496911049
206,32.0,843,0.8905677795410156,,0.45744340494275093,0.16694240272045135
207,30.0,1029,1.0648326873779297,,0.11358422506600618,0.026816140860319138
208,65.0,2179,2.220212936401367,,0.19764496944844723,0.07268733531236649
209,68.0,2094,2.14794921875,,0.30015772953629494,0.12451965361833572
210,67.0,1802,1.8805558681488037,,0.14006206579506397,0.029292721301317215
211,31.0,863,0.9095518589019775,,0.18277370370924473,0.06406586617231369
212,52.0,1427,1.4286234378814697,,0.09349396545439959,0.028903288766741753
213,32.0,870,0.9129326343536377,,0.5639405846595764,0.1977684646844864
214,34.0,742,0.8061182498931885,,0.1489619631320238,0.04577140882611275
215,44.0,1258,1.268850564956665,,0.06310661137104034,0.008196188136935234
216,63.0,1989,2.0578744411468506,,0.11552454251796007,0.027416737750172615
217,50.0,1505,1.5606613159179688,,0.1567055620253086,0.03606080263853073
218,58.0,1810,1.8351826667785645,,0.06695983000099659,0.0007316358387470245
219,21.0,674,0.7426745891571045,,0.3565073721110821,0.0934104472398758
220,30.0,1078,1.1060101985931396,,0.17017829790711403,0.06300170719623566
221,32.0,883,0.922879695892334,,0.09417420625686646,0.019108567386865616
222,64.0,2091,2.151076555252075,,0.16533046402037144,0.04386067017912865
223,82.0,2569,2.6487395763397217,,0.11421283893287182,0.010240208357572556
224,33.0,911,0.8914461135864258,,0.430581483989954,0.20866315066814423
225,31.0,838,0.8851783275604248,,0.3400934226810932,0.11631903797388077
226,55.0,1321,1.390927791595459,,0.07373653538525105,0.0014985240995883942
227,33.0,721,0.7247672080993652,,0.33635498955845833,0.10656850785017014
228,60.0,1889,1.9679303169250488,,0.2848653197288513,0.08896085619926453
229,123.0,3817,3.891683578491211,,0.37049301341176033,0.10280410945415497
230,34.0,1129,1.1568727493286133,,0.25541829876601696,0.08510881662368774
231,49.0,1586,1.6984341144561768,,0.4136888012290001,0.15805982053279877
232,61.0,1817,1.837165355682373,,0.14807182922959328,0.03438003733754158
233,31.0,759,0.8142542839050293,,0.1164118591696024,0.012709472328424454
234,34.0,885,0.8708953857421875,,0.07397222053259611,-0.0022147074341773987
235,69.0,1932,2.005466938018799,,0.14321920089423656,0.04116101190447807
236,57.0,1672,1.7152011394500732,,0.08598794415593147,0.0058922842144966125
237,33.0,1064,1.085108995437622,,0.2149694338440895,0.058192819356918335
238,33.0,823,0.8713653087615967,,0.2739778608083725,0.09841904044151306
239,34.0,869,0.9135005474090576,,0.08060638699680567,0.014562239870429039
240,32.0,1172,1.1858091354370117,,0.16714125871658325,0.0733020007610321
241,34.0,810,0.8601946830749512,,0.1782995294779539,0.039979349821805954
242,61.0,1673,1.7193572521209717,,0.33905619382858276,0.1373036503791809
243,64.0,1785,1.8101181983947754,,0.06895914627239108,-0.007859531790018082
244,44.0,1317,1.3903882503509521,,0.05340861715376377,0.0012259166687726974
245,62.0,2027,2.10135555267334,,0.14962212182581425,0.033351652324199677
246,21.0,555,0.5789682865142822,,0.10899530071765184,0.018347375094890594
247,62.0,1893,1.9823079109191895,,0.4302687421441078,0.15947091579437256
248,33.0,819,0.8133556842803955,,0.14119531214237213,0.02733178436756134
249,68.0,2077,2.1400790214538574,,0.14402181655168533,0.035619575530290604
250,68.0,1955,2.0317156314849854,,0.2536599915474653,0.08020073920488358
251,31.0,942,0.9817445278167725,,0.28950798138976097,0.08180892467498779
252,63.0,1733,1.7795720100402832,,0.15714316442608833,0.03972741216421127
253,35.0,1096,1.1209511756896973,,0.19997869804501534,0.06076034530997276
254,69.0,2101,2.213547945022583,,0.08720042463392019,0.009286921471357346
255,34.0,1065,1.0942635536193848,,0.10917711444199085,0.024213632568717003
256,31.0,1178,1.1954553127288818,,0.13136205822229385,0.035836681723594666
257,43.0,1314,1.3810291290283203,,0.11157084070146084,0.005862180143594742
258,63.0,1973,1.975937843322754,,0.08174824947491288,-0.007260117679834366
259,31.0,974,1.0051414966583252,,0.17020471021533012,0.04140044003725052
260,29.0,1423,1.4803194999694824,,0.2687078192830086,0.08663134276866913
261,58.0,1873,1.952996015548706,,0.3554626666009426,0.12353155016899109
262,32.0,1170,1.184981346130371,,0.18157297372817993,0.04422055929899216
263,30.0,964,1.009073257446289,,0.5414509177207947,0.23561151325702667
264,43.0,1249,1.261781930923462,,0.104869713075459,0.023068496957421303
265,32.0,747,0.8056871891021729,,0.33416714146733284,0.1272749900817871
266,62.0,1886,1.9241411685943604,,0.15475364215672016,0.038651347160339355
267,61.0,1851,1.9403023719787598,,0.15058988705277443,0.034092675894498825
268,50.0,1649,1.6870782375335693,,0.12167404871433973,0.015521332621574402
269,33.0,842,0.888176679611206,,0.3903067708015442,0.12949182093143463
270,66.0,2147,2.203591823577881,,0.17337092757225037,0.055856041610240936
271,65.0,2019,2.0682060718536377,,0.22317270003259182,0.09134531021118164
272,59.0,1831,1.9176950454711914,,0.24116887524724007,0.07252958416938782
273,32.0,814,0.8109931945800781,,0.13206070009618998,0.024567008018493652
274,46.0,1460,1.512450933456421,,0.06564965983852744,-0.008338090032339096
275,60.0,1651,1.690305471420288,,0.11040135938674212,0.012788280844688416
276,68.0,2321,2.390024185180664,,0.2635370474308729,0.0870896726846695
277,31.0,1065,1.086061716079712,,0.17063720151782036,0.0511140301823616
278,22.0,871,0.9277842044830322,,0.1689422819763422,0.05039471015334129
279,32.0,1108,1.126744031906128,,0.21573339216411114,0.07573671638965607
280,64.0,1994,2.0558242797851562,,0.1947244480252266,0.06875359266996384
281,32.0,1066,1.081934928894043,,0.1329154735431075,0.030226506292819977
282,66.0,1910,1.9712557792663574,,0.13299869373440742,0.020908158272504807
283,31.0,955,0.9314656257629395,,0.11001740023493767,0.01516764983534813
284,31.0,1047,1.0747113227844238,,0.12175880372524261,0.01839923858642578
285,34.0,897,0.9430990219116211,,0.19877423532307148,0.06444159150123596
286,58.0,1749,1.830153226852417,,0.12707986030727625,0.02882305160164833
287,68.0,1884,1.8920037746429443,,0.14473125524818897,0.040721092373132706
288,47.0,1360,1.4186384677886963,,0.06024844432249665,-0.003107517957687378
289,38.0,1215,1.2252426147460938,,0.32056859135627747,0.1231820285320282
290,32.0,906,0.9398524761199951,,0.5591049641370773,0.20367079973220825
291,66.0,2159,2.1915454864501953,,0.12522174417972565,0.027660483494400978
292,33.0,1065,1.0891635417938232,,0.15127629600465298,0.04010084271430969
293,33.0,861,0.8996965885162354,,0.27886923030018806,0.10575919598340988
294,33.0,927,0.9603097438812256,,0.12625332456082106,0.02810152806341648
295,60.0,1647,1.684345006942749,,0.07682365737855434,-0.002079557627439499
296,60.0,1842,1.9185235500335693,,0.24968361668288708,0.08561885356903076
297,35.0,1170,1.1939799785614014,,0.1342904819175601,0.03243793547153473
298,63.0,1855,1.9336683750152588,,0.27534039318561554,0.10892900824546814
299,33.0,883,0.8662018775939941,,0.12978375889360905,0.015537619590759277
300,73.0,2207,2.3158626556396484,,0.12750270310789347,0.024381522089242935
301,33.0,955,0.9324262142181396,,0.35150930285453796,0.14077496528625488
302,68.0,1915,1.9678552150726318,,0.12039102334529161,0.0215844064950943
303,67.0,1891,1.9674277305603027,,0.2245218101888895,0.07780712842941284
304,33.0,957,0.9883012771606445,,0.10171129088848829,0.017668841406702995
305,32.0,955,0.9843835830688477,,0.46286987513303757,0.16027675569057465
306,32.0,998,1.0312397480010986,,0.13574920035898685,0.04605049639940262
307,64.0,1799,1.8306376934051514,,0.18113571777939796,0.06087252125144005
308,33.0,1093,1.1085731983184814,,0.12869030237197876,0.04316592961549759
309,49.0,1427,1.4945576190948486,,0.10121681913733482,0.011337682604789734
310,31.0,980,1.0160646438598633,,0.37180888280272484,0.14853845536708832
311,32.0,1049,1.0750679969787598,,0.1490061618387699,0.04667932167649269
312,68.0,2207,2.2413082122802734,,0.14553186669945717,0.03384750336408615
313,65.0,2072,2.1099798679351807,,0.17851543799042702,0.057636111974716187
314,42.0,1162,1.2335422039031982,,0.10244903806596994,0.021485669538378716
315,31.0,1054,1.073427677154541,,0.18361451104283333,0.0680854469537735
316,26.0,781,0.7812271118164062,,0.07837516069412231,-0.0013403929769992828
317,31.0,850,0.9007186889648438,,0.15728280693292618,0.04677886515855789
318,75.0,1979,2.038632869720459,,0.14967701397836208,0.04389215633273125
319,55.0,1526,1.5769627094268799,,0.09847780875861645,0.014454644173383713
320,66.0,1979,2.0430703163146973,,0.19181036576628685,0.06634101271629333
321,58.0,1796,1.817286491394043,,0.08851161040365696,-0.002404969185590744
322,68.0,2028,2.104093551635742,,0.20104097947478294,0.05443166196346283
323,32.0,972,1.0116984844207764,,0.13332798145711422,0.026726134121418
324,32.0,1054,1.0736701488494873,,0.18783965520560741,0.06631295382976532
325,67.0,2055,2.113610029220581,,0.1451586689800024,0.02581542357802391
326,63.0,1851,1.932370901107788,,0.349670447409153,0.12070057541131973
327,32.0,937,0.9133188724517822,,0.09700167085975409,0.008813325315713882
328,31.0,925,0.973440408706665,,0.1888709794729948,0.06097560375928879
329,58.0,1575,1.6213786602020264,,0.05035801650956273,-0.0013086870312690735
330,32.0,1091,1.1122174263000488,,0.16493474319577217,0.047858841717243195
331,35.0,1091,1.1681044101715088,,0.07683863118290901,0.01118079200387001
332,70.0,2239,2.281735420227051,,0.2120833359658718,0.0712655708193779
333,54.0,1714,1.7572875022888184,,0.06956842727959156,-0.007687918841838837
334,31.0,1067,1.093015432357788,,0.33698056265711784,0.13027328252792358
335,59.0,1741,1.8381497859954834,,0.21211080625653267,0.06428493559360504
336,68.0,2169,2.204737424850464,,0.14488814771175385,0.045311201363801956
337,65.0,1948,2.0129270553588867,,0.38480595499277115,0.16654737293720245
338,50.0,1365,1.4308409690856934,,0.07214916311204433,-0.004534576088190079
339,32.0,1087,1.1119861602783203,,0.20290257036685944,0.06061814725399017
340,66.0,1917,1.9201829433441162,,0.21117731556296349,0.07902224361896515
341,33.0,881,0.9221367835998535,,0.16732523031532764,0.06277655065059662
342,66.0,2008,2.071890115737915,,0.3447515666484833,0.11960947513580322
343,62.0,1819,1.9023897647857666,,0.2365665417164564,0.08396509289741516
344,22.0,709,0.7164154052734375,,0.2972979210317135,0.09917932748794556
345,32.0,979,1.0084388256072998,,0.2087365873157978,0.04632267355918884
346,34.0,857,0.8994684219360352,,0.4298209473490715,0.1906953901052475
