episode_number,episode_reward,episode_length,episode_time_seconds,policy_loss,value_loss,total_loss
1,20.0,607,0.751384973526001,,,
2,28.0,1015,1.0716731548309326,,0.2697770930826664,0.10432084649801254
3,25.0,747,0.7716381549835205,,0.11452533956617117,0.009222447872161865
4,29.0,886,0.9575240612030029,,0.19613877311348915,0.04995790123939514
5,29.0,1009,1.0723538398742676,,0.105732012540102,0.0277175884693861
6,25.0,737,0.7575135231018066,,0.1000568950548768,0.01582476496696472
7,31.0,1237,1.330216407775879,,0.0911198565736413,0.02167000249028206
8,32.0,1206,1.2485790252685547,,0.08899623341858387,0.02433731034398079
9,21.0,801,0.8817019462585449,,0.11811050958931446,0.026654638350009918
10,32.0,1210,1.2503254413604736,,0.20905415900051594,0.057527512311935425
11,26.0,879,0.9576356410980225,,0.075709393247962,0.017863115295767784
12,30.0,1010,1.0701031684875488,,0.12998026330024004,0.03474825620651245
13,27.0,917,0.9293105602264404,,0.18355520255863667,0.042925816029310226
14,29.0,1066,1.1781134605407715,,0.10133706778287888,0.018063968047499657
15,24.0,760,0.7860536575317383,,0.051056511234492064,-0.016551844775676727
16,31.0,1135,1.1812920570373535,,0.15674553625285625,0.03451260179281235
17,29.0,1163,1.2660834789276123,,0.10036742314696312,0.013999128714203835
18,30.0,911,0.9258441925048828,,0.07525238208472729,-0.005290985107421875
19,19.0,606,0.6392765045166016,,0.14878000784665346,0.049275077879428864
20,29.0,1118,1.2169413566589355,,0.20801746100187302,0.06720040738582611
21,26.0,883,0.8935792446136475,,0.1117467824369669,0.03411311283707619
22,28.0,863,0.9263546466827393,,0.12563085742294788,0.0241544246673584
23,29.0,1075,1.1239793300628662,,0.12272960040718317,0.03937087208032608
24,31.0,989,1.0546889305114746,,0.07777935825288296,0.014681711792945862
25,28.0,987,1.0508620738983154,,0.19757754169404507,0.07803961634635925
26,21.0,591,0.6283776760101318,,0.12878294382244349,0.01324908435344696
27,32.0,914,0.9829511642456055,,0.16982860676944256,0.057435158640146255
28,25.0,757,0.7726120948791504,,0.10503960680216551,0.02247902937233448
29,32.0,1098,1.211991548538208,,0.14240931067615747,0.03022252768278122
30,30.0,1097,1.1503727436065674,,0.12241456564515829,0.02912214770913124
31,21.0,739,0.7624621391296387,,0.09934756066650152,0.022102078422904015
32,31.0,901,0.9673879146575928,,0.3227839581668377,0.11339706927537918
33,33.0,1021,1.0714828968048096,,0.07327117770910263,0.006261492148041725
34,18.0,575,0.6092243194580078,,0.14953127037733793,0.026946846395730972
